SKU,Item_Name,HSN_Code,Gst_Rate,Party Account Name,Region State,Classification Type
SKU-701,ASUS ROG GAMING LAPTOP,84713010.0,18.0,,,
SKU-702,RAZER DEATHADDER WIRELESS MOUSE,84716060.0,18.0,,,
SKU-703,BOULT AUDIO AIRBASS EARBUDS,85183000.0,18.0,,,
SKU-704,SAMSUNG EVO PLUS 128GB SD CARD,85235100.0,18.0,,,
,,,,alpha,Local State,Sundry Debtors
,,,,alpha,Local State,Sundry Debtors
,,,,alpha,Local State,Sundry Debtors
alpha,Local State,Sundry Debtors,,,,
,,,,alpha,Local State,Sundry Debtors
,,,,Beta Corp,Local State,Sundry Debtors
